Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
Australia,84.3,41.8,63.8,80.7,81.6,123.0,2018
France,83.9,28.6,57.2,78.1,81.9,101.2,2018
Sweden,83.7,28.0,56.8,76.1,86.7,113.0,2018
New Zealand,83.4,33.8,59.5,77.0,79.0,98.6,2018
Belgium,83.3,28.1,56.7,72.8,93.2,98.9,2018
South Korea,82.9,23.4,54.2,99.7,49.0,109.4,2018
Netherlands,82.7,36.2,60.3,65.8,92.7,109.5,2018
Finland,81.7,29.7,56.6,68.8,86.9,119.4,2018
Austria,81.5,29.3,56.3,76.8,75.8,98.7,2018
Italy,79.1,23.1,52.1,68.0,84.7,81.1,2018
Hong Kong,78.7,79.5,79.1,83.5,56.2,82.9,2018
United Kingdom,75.8,33.4,55.4,61.0,83.9,108.5,2018
Germany,74.3,29.1,52.5,58.9,71.2,125.0,2018
United States,73.0,38.5,56.3,73.9,70.0,127.6,2018
Canada,72.5,30.8,52.4,71.4,68.7,118.9,2018
Malta,70.9,29.3,50.9,59.8,75.1,66.2,2018
United Arab Emirates,67.2,60.7,64.1,55.6,63.3,124.8,2018
Puerto Rico,67.0,18.7,43.7,66.3,55.7,103.8,2018
Uruguay,66.9,20.0,44.3,54.5,69.2,34.3,2018
Taiwan,65.4,15.1,41.1,79.2,28.9,106.4,2018
Qatar,65.4,65.3,65.3,57.5,64.8,125.0,2018
Greece,63.2,11.8,38.4,50.9,61.7,53.8,2018
Spain,61.8,22.2,42.7,51.3,60.6,90.7,2018
Jamaica,60.6,12.5,37.4,60.2,39.7,35.3,2018
Cyprus,60.3,15.4,38.7,49.7,65.4,94.8,2018
Lebanon,60.2,27.9,44.7,46.2,58.7,56.4,2018
Ghana,59.8,32.8,46.8,54.9,37.4,16.0,2018
Slovenia,59.6,15.5,38.4,50.8,48.9,80.3,2018
Bahrain,59.6,31.0,45.8,58.0,54.2,72.3,2018
Palestine,58.2,10.3,35.1,54.4,41.8,60.2,2018
Estonia,57.6,15.8,37.5,43.8,56.8,74.8,2018
Kuwait,56.9,36.3,47.0,44.0,48.5,100.6,2018
Costa Rica,56.2,17.6,37.6,55.6,45.9,54.7,2018
Portugal,55.9,20.4,38.8,45.5,46.8,62.0,2018
Chile,55.2,16.6,36.6,47.8,51.4,54.5,2018
Jordan,55.1,12.1,34.3,46.5,52.7,43.4,2018
Croatia,55.1,12.0,34.3,46.3,43.4,59.8,2018
Mauritius,55.0,13.3,34.9,49.5,39.4,46.7,2018
Trinidad And Tobago,54.6,18.8,37.3,53.4,50.3,54.9,2018
Argentina,53.7,13.8,34.5,44.6,53.7,60.2,2018
Latvia,53.4,13.3,34.1,42.5,48.0,53.1,2018
Lithuania,53.2,15.2,34.9,41.7,48.9,57.3,2018
Panama,52.4,26.6,40.0,53.0,44.3,39.1,2018
Brazil,51.3,13.9,33.3,39.7,41.2,41.6,2018
Slovakia,50.4,18.9,35.2,43.7,37.3,67.3,2018
Czech Republic,50.1,19.1,35.1,43.6,36.0,76.3,2018
Zimbabwe,49.5,12.3,31.6,44.3,37.7,27.3,2018
Oman,49.3,20.3,35.3,46.7,46.2,99.2,2018
Thailand,48.9,17.1,33.6,54.9,23.9,38.6,2018
Hungary,48.6,15.4,32.6,38.6,37.4,50.6,2018
South Africa,48.1,17.9,33.5,40.7,45.7,99.8,2018
Dominican Republic,47.9,10.3,29.8,41.9,43.6,27.4,2018
El Salvador,47.9,11.4,30.3,46.8,36.2,30.9,2018
Saudi Arabia,47.9,13.5,31.3,42.0,32.0,131.5,2018
Ethiopia,47.5,24.0,36.2,39.1,20.2,15.0,2018
Guatemala,46.9,14.6,31.3,44.6,36.8,41.3,2018
Zambia,46.5,19.5,33.5,40.4,33.5,101.3,2018
Cambodia,45.9,13.6,30.3,49.3,23.1,14.9,2018
Poland,45.2,16.6,31.4,35.9,37.7,74.4,2018
Tanzania,45.0,19.0,32.4,34.5,29.4,23.1,2018
Malaysia,44.7,11.5,28.7,48.2,23.2,73.0,2018
China,44.6,18.4,31.9,47.7,29.6,72.3,2018
Montenegro,44.4,10.8,28.2,35.8,38.1,48.7,2018
Ecuador,44.3,11.2,28.3,42.9,30.8,39.4,2018
Honduras,44.3,10.6,28.1,36.6,33.0,34.9,2018
Russia,43.9,16.6,30.7,35.9,45.9,51.1,2018
Iraq,43.9,12.8,28.9,37.7,38.4,51.2,2018
Turkey,41.8,10.4,26.6,36.2,31.2,53.8,2018
Bulgaria,41.2,9.8,26.1,35.2,33.6,54.4,2018
Indonesia,39.7,8.5,24.7,43.5,19.5,37.5,2018
Romania,39.7,10.9,25.8,32.8,33.3,66.2,2018
Peru,39.6,14.4,27.5,35.9,26.3,37.1,2018
Serbia,39.6,8.4,24.6,30.0,31.5,41.8,2018
Vietnam,39.4,15.1,27.7,39.1,20.0,30.1,2018
Bosnia And Herzegovina,39.3,6.9,23.7,33.8,26.7,52.4,2018
Kenya,38.7,8.7,24.2,36.6,31.6,32.1,2018
Albania,37.9,7.3,23.1,30.9,29.1,37.0,2018
Morocco,37.1,11.5,24.7,33.3,25.8,45.1,2018
Bolivia,36.5,9.9,23.7,28.8,28.5,44.7,2018
Philippines,36.0,8.0,22.5,34.3,20.9,34.0,2018
Colombia,35.3,10.1,23.2,29.5,26.7,38.6,2018
North Macedonia,34.8,6.9,21.4,28.7,23.6,42.6,2018
Nigeria,34.7,16.0,25.6,35.8,22.1,19.6,2018
Iran,34.6,15.9,25.6,31.0,27.3,45.6,2018
Sri Lanka,34.3,8.3,21.8,38.4,19.7,29.6,2018
Kazakhstan,34.3,11.2,23.2,28.1,35.4,40.8,2018
Belarus,34.1,10.6,22.7,27.9,35.8,41.3,2018
Mexico,33.6,9.5,22.0,32.2,29.5,58.2,2018
Armenia,33.5,8.8,21.6,27.8,31.2,31.8,2018
Moldova,33.1,8.8,21.4,26.6,23.5,29.3,2018
Uganda,32.7,6.8,20.2,28.3,23.2,21.4,2018
Nepal,32.6,4.4,19.0,30.2,19.0,25.3,2018
Venezuela,32.2,7.6,20.3,33.8,26.7,4.0,2018
Algeria,32.1,6.0,19.5,33.8,17.6,36.0,2018
Bangladesh,32.0,5.5,19.2,30.2,21.2,39.6,2018
Azerbaijan,30.6,9.5,20.4,27.4,30.6,28.7,2018
Georgia,29.7,9.8,20.1,24.6,29.2,35.5,2018
Kosovo (Disputed Territory),29.4,8.6,19.4,26.3,21.0,59.2,2018
Syria,27.8,5.1,16.9,26.2,22.2,11.3,2018
Tunisia,27.7,5.8,17.1,26.4,17.1,38.2,2018
India,26.9,6.8,17.2,27.5,18.3,79.3,2018
Ukraine,26.0,8.9,17.7,20.4,18.6,30.2,2018
Egypt,25.7,5.1,15.7,23.0,21.0,24.7,2018
Pakistan,25.1,5.3,15.5,23.8,19.0,41.1,2018
Switzerland,121.2,50.2,87.1,120.8,123.1,129.7,2019
Iceland,101.9,48.3,76.1,92.1,111.8,91.8,2019
Norway,101.0,37.3,70.4,92.7,111.5,103.6,2019
Bahamas,92.4,33.5,64.1,77.0,99.9,57.0,2019
Luxembourg,86.1,55.6,71.5,75.1,96.1,106.3,2019
Japan,83.3,28.0,56.7,83.6,48.8,103.1,2019
Denmark,81.4,32.9,58.1,63.6,95.1,114.4,2019
Hong Kong,78.1,76.8,77.5,80.3,56.1,69.3,2019
South Korea,76.9,22.2,50.7,89.7,44.8,103.4,2019
Ireland,75.3,41.8,59.2,59.1,82.6,95.1,2019
France,74.9,26.2,51.5,68.3,75.4,91.6,2019
Netherlands,74.8,34.7,55.6,58.8,83.5,102.5,2019
Israel,74.3,29.4,52.7,61.9,80.8,92.5,2019
Belgium,73.0,25.8,50.3,60.9,83.4,95.1,2019
Finland,72.8,26.1,50.4,60.0,77.9,112.3,2019
New Zealand,72.6,31.6,52.9,65.7,68.8,101.1,2019
Australia,72.1,35.5,54.5,66.9,70.7,122.9,2019
Austria,71.8,27.6,50.6,65.6,70.1,96.7,2019
Sweden,71.6,26.0,49.7,63.5,75.0,111.4,2019
United States,69.9,39.0,55.1,67.4,69.3,122.0,2019
Singapore,69.8,53.1,61.8,57.5,46.7,103.8,2019
Italy,69.2,21.7,46.4,58.3,75.7,77.5,2019
Germany,67.6,26.8,48.0,54.3,63.6,116.2,2019
United Kingdom,65.3,28.6,47.7,51.9,72.4,105.7,2019
Canada,65.0,28.3,47.4,62.4,61.8,109.4,2019
Puerto Rico,63.8,18.0,41.8,61.7,54.8,98.4,2019
Malta,63.3,28.7,46.7,51.2,67.3,59.7,2019
Taiwan,59.8,23.4,42.3,69.6,26.9,56.4,2019
Qatar,59.1,46.6,53.1,47.7,61.9,138.3,2019
Jamaica,58.8,14.7,37.6,58.8,42.3,34.7,2019
Lebanon,58.1,26.9,43.1,43.3,56.8,54.0,2019
Uruguay,57.3,16.2,37.6,45.1,56.3,47.8,2019
Bahrain,56.7,29.6,43.7,51.2,52.2,74.6,2019
Greece,56.7,10.8,34.6,43.7,54.8,49.6,2019
United Arab Emirates,56.2,41.0,48.9,43.2,53.9,119.6,2019
Cyprus,55.6,20.2,38.6,44.3,59.8,75.3,2019
Jordan,55.0,11.9,34.3,44.4,52.3,41.7,2019
Spain,54.7,20.7,38.4,44.0,54.1,83.8,2019
Slovenia,52.5,15.4,34.7,43.3,43.8,75.4,2019
Mauritius,52.4,11.5,32.8,47.9,39.1,39.8,2019
Myanmar,52.4,24.7,39.1,54.8,20.2,14.0,2019
Trinidad And Tobago,52.1,17.1,35.3,50.0,46.0,57.0,2019
Zimbabwe,51.6,11.7,32.4,45.7,36.8,27.7,2019
Kuwait,51.5,32.9,42.6,39.9,47.3,102.0,2019
Panama,51.4,24.6,38.6,48.2,47.1,41.3,2019
Ghana,51.1,31.6,41.7,44.8,31.7,18.7,2019
Estonia,51.0,15.4,33.9,37.1,51.2,76.0,2019
Fiji,50.9,22.7,37.4,57.6,36.5,35.4,2019
Costa Rica,50.9,15.5,33.9,47.9,42.6,47.1,2019
Portugal,50.4,21.1,36.3,40.2,43.1,55.2,2019
Palestine,50.2,9.0,30.4,43.9,37.3,57.2,2019
Belize,49.4,8.8,29.9,42.9,36.7,70.8,2019
Latvia,49.2,12.0,31.4,36.7,45.5,55.2,2019
Croatia,49.2,11.6,31.1,40.3,40.4,60.3,2019
Chile,47.7,15.2,32.1,40.5,45.1,54.1,2019
Saudi Arabia,47.6,11.4,30.2,39.1,30.9,118.6,2019
Thailand,47.5,17.7,33.2,50.0,24.6,40.9,2019
Cambodia,46.8,14.4,31.3,44.2,24.4,12.5,2019
Oman,46.2,19.9,33.6,40.0,44.4,88.5,2019
El Salvador,46.1,14.2,30.8,45.6,35.5,30.1,2019
Lithuania,45.9,12.9,30.1,35.4,43.9,60.3,2019
Nicaragua,45.8,9.5,28.4,46.4,31.1,24.5,2019
Czech Republic,45.1,18.3,32.2,38.1,33.2,71.3,2019
Slovakia,45.0,16.1,31.1,38.5,33.6,63.2,2019
Dominican Republic,44.9,10.2,28.3,35.7,42.4,26.0,2019
Namibia,43.2,17.5,30.8,39.9,38.6,63.6,2019
Brazil,42.8,11.5,27.7,31.3,34.8,37.4,2019
South Africa,42.5,16.5,30.0,33.9,40.8,83.0,2019
Honduras,42.1,10.8,27.1,33.6,31.5,35.2,2019
Hungary,42.0,13.6,28.4,32.4,33.4,54.7,2019
Ecuador,42.0,11.6,27.4,37.9,29.4,40.8,2019
Guatemala,41.7,13.9,28.4,38.0,32.3,41.8,2019
Cuba,40.5,8.1,24.9,34.3,28.3,2.5,2019
Iraq,39.6,11.5,26.1,34.1,31.8,47.6,2019
Montenegro,39.6,9.9,25.4,30.8,34.2,46.3,2019
Malaysia,39.4,10.9,25.7,39.7,22.7,73.1,2019
China,39.2,17.4,28.7,39.9,28.2,69.0,2019
Poland,39.1,14.9,27.5,30.7,32.7,70.0,2019
Kenya,38.2,10.0,24.7,33.2,31.2,32.5,2019
Vietnam,37.7,13.1,25.9,37.9,18.9,33.3,2019
Bulgaria,37.2,9.2,23.7,31.1,29.9,52.2,2019
Peru,37.2,12.0,25.1,32.7,23.7,37.5,2019
Romania,36.5,10.0,23.7,29.9,32.3,61.2,2019
Indonesia,36.2,8.4,22.9,38.1,18.0,33.0,2019
Albania,36.2,8.2,22.7,28.6,29.3,33.8,2019
Iran,35.8,16.9,26.7,32.6,26.9,37.7,2019
Bosnia And Herzegovina,35.7,6.3,21.6,28.8,23.8,49.2,2019
Russia,35.5,12.7,24.5,29.2,37.0,45.4,2019
Serbia,35.4,8.1,22.3,26.3,27.8,39.9,2019
Turkey,35.2,7.2,21.8,30.4,23.7,45.3,2019
Philippines,35.1,8.1,22.1,32.6,19.7,29.5,2019
Tanzania,34.7,16.0,25.8,28.6,25.2,22.7,2019
Bolivia,34.4,10.9,23.1,26.9,28.0,44.0,2019
Morocco,34.0,9.5,22.2,29.9,23.9,41.4,2019
Belarus,33.1,10.0,22.0,27.8,36.0,44.6,2019
Argentina,33.1,9.5,21.8,26.3,32.5,55.0,2019
Mexico,32.7,10.1,21.8,30.3,30.2,50.0,2019
Armenia,32.5,9.9,21.7,25.8,32.5,33.1,2019
Paraguay,32.3,9.4,21.3,26.0,25.8,35.6,2019
Moldova,32.3,8.0,20.6,25.0,27.7,30.7,2019
Bangladesh,31.8,5.4,19.2,29.5,19.0,39.8,2019
North Macedonia,31.6,6.5,19.5,24.8,23.7,39.8,2019
Nigeria,31.2,29.0,30.2,31.8,19.2,15.1,2019
Algeria,30.6,5.5,18.5,32.0,16.4,32.9,2019
Uganda,30.3,8.5,19.8,26.1,21.9,22.7,2019
Sri Lanka,30.2,7.6,19.4,33.6,17.4,27.3,2019
Colombia,30.1,9.2,20.1,24.3,22.5,34.7,2019
Kazakhstan,29.8,9.8,20.2,23.8,29.8,38.8,2019
Nepal,29.6,4.6,17.6,25.4,19.7,26.3,2019
Azerbaijan,29.1,8.7,19.3,24.1,30.7,32.0,2019
Georgia,28.8,8.5,19.1,23.4,27.1,33.2,2019
Ukraine,27.9,9.5,19.1,22.5,22.1,32.7,2019
Uzbekistan,27.1,8.3,18.1,23.9,21.1,25.1,2019
Egypt,26.5,5.0,16.2,23.2,22.3,23.7,2019
Kosovo (Disputed Territory),26.2,8.1,17.5,23.2,19.6,61.8,2019
Venezuela,25.7,5.9,16.2,27.6,22.0,3.7,2019
India,24.2,5.8,15.4,24.2,17.2,66.9,2019
Tunisia,23.7,5.0,14.7,22.3,13.3,38.0,2019
Pakistan,20.4,4.5,12.8,18.2,15.4,38.6,2019
Switzerland,122.4,50.3,87.9,120.3,123.0,119.5,2020
Norway,101.4,36.2,70.2,91.1,109.3,88.4,2020
Iceland,100.5,47.0,74.9,86.9,113.7,79.4,2020
Japan,83.3,26.0,55.9,81.8,48.9,87.3,2020
Denmark,83.0,31.9,58.6,61.7,100.8,100.9,2020
Bahamas,82.5,36.4,60.4,62.7,83.7,54.2,2020
Luxembourg,81.9,54.9,69.0,69.1,89.8,103.9,2020
Israel,81.2,31.3,57.3,66.3,88.6,78.1,2020
Singapore,81.1,63.3,72.6,66.8,59.0,89.0,2020
South Korea,78.2,22.9,51.7,91.3,44.9,85.2,2020
Hong Kong,77.2,79.6,78.3,75.9,54.4,65.3,2020
Barbados,76.0,19.7,49.1,65.2,68.1,51.1,2020
Ireland,75.9,43.9,60.6,58.4,81.2,80.9,2020
France,74.1,25.4,50.8,67.9,72.5,80.4,2020
Netherlands,73.7,35.2,55.3,55.9,80.5,90.7,2020
Australia,73.5,34.9,55.0,67.2,70.3,107.3,2020
New Zealand,72.5,32.1,53.2,64.7,68.8,92.7,2020
Belgium,71.8,25.4,49.6,58.7,80.1,86.3,2020
Seychelles,71.6,32.3,52.8,64.6,84.9,21.7,2020
United States,71.1,40.3,56.4,66.6,70.7,109.5,2020
Austria,70.4,26.8,49.5,61.7,68.1,82.4,2020
Finland,70.3,26.2,49.2,56.5,76.8,99.9,2020
Sweden,69.8,25.9,48.8,60.5,72.3,101.7,2020
Canada,67.6,30.7,50.0,63.7,63.5,95.1,2020
Puerto Rico,67.5,19.3,44.5,65.8,58.7,79.4,2020
Malta,67.5,31.0,50.0,54.9,75.9,46.3,2020
United Kingdom,67.3,29.8,49.4,51.3,74.1,91.7,2020
Italy,67.3,21.2,45.2,55.4,72.3,65.6,2020
Germany,65.3,27.1,47.0,49.2,61.6,102.4,2020
Macao,64.8,44.0,54.9,62.0,43.4,80.9,2020
Qatar,64.0,47.4,56.1,53.6,66.8,111.7,2020
United Arab Emirates,62.0,41.1,52.0,47.6,61.3,91.6,2020
Taiwan,61.4,16.4,39.9,71.5,28.5,65.7,2020
Lebanon,60.5,24.5,43.3,43.9,58.2,44.5,2020
Bahrain,58.9,30.9,45.6,48.1,54.5,57.9,2020
Cyprus,57.9,20.5,40.0,44.2,63.1,57.4,2020
Jamaica,57.8,15.2,37.5,59.0,38.1,32.4,2020
Greece,55.7,11.7,34.6,41.6,53.7,43.7,2020
Zimbabwe,55.3,11.0,34.1,50.8,40.8,26.0,2020
Palestine,54.5,8.8,32.7,46.7,38.9,46.9,2020
Ethiopia,54.4,20.9,38.4,36.3,19.4,8.3,2020
Panama,54.2,24.8,40.1,53.0,47.3,34.2,2020
Costa Rica,54.0,15.5,35.6,49.6,43.5,42.6,2020
Spain,53.8,21.8,38.5,42.4,52.1,72.0,2020
Trinidad And Tobago,53.7,17.3,36.3,49.4,49.8,45.7,2020
Jordan,53.7,11.5,33.5,43.3,47.1,34.9,2020
Slovenia,53.4,17.1,36.0,43.8,45.4,66.3,2020
Mauritius,53.0,12.0,33.4,48.9,44.0,30.9,2020
Uruguay,51.0,14.4,33.5,40.1,47.4,37.5,2020
Estonia,50.9,15.4,33.9,36.6,52.9,71.3,2020
Kuwait,50.4,31.2,41.2,34.7,47.1,85.6,2020
Thailand,49.8,17.1,34.1,49.2,24.9,35.5,2020
Croatia,49.7,13.5,32.4,39.9,42.4,50.4,2020
Portugal,49.5,21.8,36.3,38.1,42.5,49.4,2020
Oman,49.3,18.0,34.3,43.5,44.3,81.0,2020
Belize,49.2,9.7,30.3,41.9,37.0,57.5,2020
Saudi Arabia,48.3,11.4,30.7,37.9,33.5,100.0,2020
Latvia,47.9,12.3,30.9,34.9,42.9,52.5,2020
Cambodia,47.5,14.9,31.9,44.6,25.2,11.3,2020
Fiji,47.5,18.5,33.6,52.7,35.9,33.2,2020
Czech Republic,46.1,19.6,33.4,38.1,34.1,62.8,2020
El Salvador,45.6,13.5,30.2,43.7,34.8,24.7,2020
Brunei,44.7,23.1,34.4,37.1,38.1,87.0,2020
Nicaragua,44.6,7.6,26.9,41.7,31.4,23.9,2020
Slovakia,44.5,16.1,30.9,37.5,33.8,56.9,2020
Lithuania,44.3,13.6,29.6,33.6,42.7,57.8,2020
Dominican Republic,44.1,10.6,28.1,35.9,38.3,24.0,2020
Chile,43.6,13.4,29.2,36.4,41.6,42.5,2020
Cuba,43.5,4.8,25.0,37.4,30.9,2.2,2020
Suriname,43.1,7.8,26.2,45.8,35.0,22.4,2020
Namibia,43.1,16.1,30.2,36.8,39.2,55.6,2020
South Africa,42.9,16.6,30.3,33.3,40.6,73.6,2020
Guatemala,42.7,15.3,29.6,37.4,33.0,39.8,2020
Honduras,42.2,10.6,27.1,33.3,30.5,30.3,2020
Myanmar,42.1,23.8,33.3,44.7,19.0,10.2,2020
Ecuador,41.0,12.0,27.1,35.5,30.7,36.1,2020
Hungary,40.9,14.0,28.0,30.8,34.5,47.6,2020
Brazil,40.2,10.6,26.1,29.2,30.8,32.8,2020
Kenya,40.2,10.7,26.1,35.4,35.1,27.3,2020
China,40.0,16.4,28.7,40.4,29.2,60.9,2020
Poland,40.0,15.7,28.4,30.6,33.4,59.6,2020
Russia,39.2,11.4,25.9,31.1,39.6,38.9,2020
Botswana,39.1,11.1,25.7,31.7,40.0,58.1,2020
Malaysia,39.1,11.0,25.7,37.6,22.9,64.5,2020
Iraq,39.0,11.3,25.8,31.8,32.7,42.4,2020
Iran,39.0,14.5,27.3,35.5,25.1,22.7,2020
Somalia,38.7,4.8,22.5,45.9,27.0,33.2,2020
Peru,38.7,12.8,26.3,33.8,24.7,34.0,2020
Vietnam,38.3,13.6,26.5,37.1,19.6,28.1,2020
Montenegro,38.2,10.4,24.9,28.6,33.2,39.8,2020
Ghana,37.6,19.4,28.9,37.2,26.6,14.7,2020
Philippines,37.6,9.0,23.9,33.5,20.8,23.5,2020
Indonesia,37.3,10.6,24.5,37.4,18.3,25.1,2020
Bulgaria,36.7,9.6,23.8,30.1,29.1,49.4,2020
Albania,36.4,8.5,23.1,28.4,26.8,29.6,2020
Bosnia And Herzegovina,36.0,6.7,22.0,28.1,25.1,41.8,2020
Mexico,35.7,11.5,24.1,32.4,32.1,41.8,2020
Serbia,35.7,9.1,23.0,25.5,28.6,36.7,2020
Romania,35.3,10.0,23.2,29.0,30.5,48.9,2020
Tanzania,35.3,14.0,25.1,29.7,22.6,17.6,2020
Belarus,34.7,10.5,23.1,28.1,38.9,37.0,2020
Turkey,34.7,6.8,21.3,29.8,24.2,40.8,2020
Bolivia,34.6,10.9,23.3,28.1,25.1,39.3,2020
Morocco,34.3,8.9,22.2,30.1,24.5,35.2,2020
Moldova,33.7,8.4,21.6,26.0,27.8,27.6,2020
Rwanda,33.3,11.9,23.1,26.8,29.2,19.3,2020
Ukraine,33.2,10.5,22.3,26.0,26.4,31.8,2020
Argentina,33.0,8.3,21.2,25.8,30.5,47.2,2020
Armenia,32.8,10.9,22.4,25.6,30.4,28.0,2020
Bangladesh,32.3,5.0,19.2,29.7,19.2,33.2,2020
Zambia,31.7,7.4,20.1,26.9,22.1,54.1,2020
Sri Lanka,31.6,7.7,20.2,35.1,18.8,24.5,2020
North Macedonia,31.6,6.5,19.6,24.9,23.3,37.2,2020
Paraguay,31.1,9.7,20.8,25.0,25.0,32.6,2020
Nigeria,31.0,23.6,27.5,31.1,17.7,13.5,2020
Colombia,30.7,9.6,20.6,25.1,22.4,31.1,2020
Kazakhstan,30.6,9.8,20.7,24.3,29.9,38.4,2020
Uganda,30.2,10.2,20.6,25.3,22.1,20.5,2020
Algeria,30.1,5.3,18.3,30.7,15.9,28.7,2020
Azerbaijan,29.9,9.5,20.1,23.7,30.4,30.2,2020
Egypt,29.5,5.5,18.0,25.5,23.5,22.4,2020
Nepal,29.0,4.8,17.4,24.9,20.4,21.9,2020
Georgia,28.5,9.8,19.5,23.1,26.7,24.9,2020
Kosovo (Disputed Territory),28.5,8.5,18.9,26.5,21.0,48.9,2020
Venezuela,27.2,6.8,17.4,28.3,24.4,2.6,2020
Tunisia,27.0,5.5,16.7,25.3,14.9,34.5,2020
Kyrgyzstan,27.0,9.2,18.5,23.4,21.4,25.0,2020
Uzbekistan,26.0,7.5,17.2,21.6,20.2,24.3,2020
Syria,25.3,5.7,15.9,22.4,21.4,11.5,2020
India,24.6,5.7,15.5,24.5,17.2,54.3,2020
Afghanistan,24.2,4.0,14.6,17.7,17.4,28.2,2020
Pakistan,22.0,4.6,13.7,19.1,16.8,30.6,2020
Bermuda,145.1,92.9,120.1,141.8,157.7,83.4,2021
Switzerland,131.7,55.0,95.1,133.4,126.1,111.0,2021
Norway,106.1,36.2,72.7,100.6,105.9,79.4,2021
Iceland,96.8,43.2,71.2,88.8,102.2,71.9,2021
Denmark,91.7,36.2,65.2,72.6,104.9,94.7,2021
Luxembourg,88.3,61.6,75.5,80.7,94.7,95.4,2021
Japan,87.8,28.0,59.2,90.5,49.7,76.5,2021
Israel,86.6,31.9,60.5,73.7,91.1,70.4,2021
Bahamas,85.8,34.5,61.3,69.4,89.3,49.3,2021
Singapore,85.6,64.8,75.6,75.3,62.1,83.6,2021
Australia,84.1,38.4,62.3,81.1,76.3,99.3,2021
Ireland,83.1,45.4,65.1,67.8,82.3,73.8,2021
Barbados,81.5,21.1,52.6,71.5,72.8,45.3,2021
South Korea,81.2,22.9,53.3,99.8,44.0,76.6,2021
France,80.6,27.8,55.4,77.5,75.5,74.1,2021
Hong Kong,79.9,74.2,77.2,81.7,58.6,62.4,2021
Sweden,79.2,28.1,54.8,71.7,77.2,90.6,2021
New Zealand,79.1,35.4,58.2,75.0,69.2,81.4,2021
Seychelles,78.9,34.3,57.6,78.6,84.2,18.0,2021
Netherlands,78.6,39.3,59.8,61.6,81.6,83.9,2021
Belgium,78.5,26.8,53.8,67.3,82.4,76.5,2021
Finland,77.5,28.0,53.9,65.6,81.2,89.1,2021
Lebanon,75.9,24.1,51.1,72.5,62.9,29.5,2021
Austria,75.5,28.4,53.0,67.6,71.0,78.2,2021
Malta,73.6,33.0,54.2,63.4,77.0,41.9,2021
Italy,73.1,22.9,49.1,62.5,75.6,58.7,2021
United States,71.9,41.1,57.2,70.2,69.4,102.6,2021
United Kingdom,71.0,31.6,52.2,56.4,74.7,82.6,2021
Germany,70.6,29.6,51.0,54.7,65.0,93.7,2021
Canada,70.1,32.5,52.1,68.5,64.0,82.8,2021
Macao,69.6,44.4,57.6,66.3,48.9,67.6,2021
Puerto Rico,69.5,19.4,45.6,72.1,58.1,69.2,2021
Taiwan,65.2,17.9,42.6,79.1,28.8,56.1,2021
Qatar,64.2,46.6,55.8,56.7,62.6,93.1,2021
Cyprus,64.0,22.7,44.3,51.7,66.3,52.3,2021
United Arab Emirates,61.7,40.6,51.6,48.8,61.3,85.7,2021
Greece,61.0,13.1,38.1,47.7,55.7,38.9,2021
Slovenia,59.4,18.9,40.0,51.5,47.9,56.1,2021
Spain,59.1,23.6,42.1,48.7,57.0,62.7,2021
Bahrain,57.7,29.5,44.2,47.0,52.3,53.2,2021
Estonia,56.5,16.3,37.3,43.3,56.3,61.2,2021
Croatia,56.4,14.9,36.6,49.1,46.1,43.1,2021
Palestine,55.9,10.0,34.0,50.2,36.2,39.1,2021
Cuba,55.5,14.9,36.1,46.9,32.9,1.4,2021
Trinidad And Tobago,55.5,16.4,36.8,53.1,52.2,39.0,2021
Ivory Coast,54.6,20.3,38.2,47.2,34.5,6.3,2021
Ethiopia,54.3,15.6,35.8,37.5,18.2,10.1,2021
Panama,54.1,22.6,39.0,54.8,45.5,32.1,2021
Jamaica,53.2,15.9,35.4,55.9,33.1,32.2,2021
Portugal,52.9,22.3,38.3,42.0,43.2,45.0,2021
Latvia,52.9,13.2,33.9,41.4,44.9,45.9,2021
Mauritius,52.6,12.3,33.3,54.1,37.6,27.4,2021
Belize,52.4,11.6,32.9,47.8,36.1,45.7,2021
Jordan,52.2,9.7,31.9,42.8,42.1,33.1,2021
Suriname,51.9,10.4,32.1,50.4,62.6,16.5,2021
Zimbabwe,51.5,9.4,31.4,45.6,39.3,22.1,2021
Yemen,51.5,6.2,29.8,61.2,23.6,14.7,2021
Uruguay,51.1,13.6,33.2,40.8,49.0,30.6,2021
Costa Rica,50.6,14.5,33.4,48.0,41.3,39.0,2021
Oman,50.2,17.3,34.5,46.9,41.9,84.4,2021
Saudi Arabia,49.9,11.6,31.6,41.7,32.0,88.2,2021
Kuwait,49.4,31.4,40.8,35.9,45.1,75.3,2021
Brunei,49.4,23.4,37.0,47.2,35.9,89.0,2021
Chile,49.3,14.7,32.8,41.8,46.0,33.3,2021
Thailand,49.3,16.3,33.6,50.6,24.2,31.4,2021
Czech Republic,49.2,19.8,35.1,42.8,34.7,56.4,2021
Slovakia,49.1,17.4,34.0,43.0,37.5,50.4,2021
Fiji,48.5,17.8,33.8,53.4,38.6,30.0,2021
Cambodia,47.9,14.6,32.0,48.6,23.1,11.4,2021
Lithuania,47.7,14.6,31.9,37.3,46.0,54.6,2021
Guatemala,44.8,15.2,30.7,41.7,32.5,25.6,2021
El Salvador,44.6,13.3,29.6,42.7,33.3,20.7,2021
